@relation pacman-data-weka.filters.unsupervised.attribute.Remove-R29-55-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute PacmanPositionX numeric
@attribute PacmanPositionY numeric
@attribute LegalPacManNorth {0,1}
@attribute LegalPacManSouth {0,1}
@attribute LegalPacManWest {0,1}
@attribute LegalPacManEast {0,1}
@attribute Ghost1PositionX numeric
@attribute Ghost1PositionY numeric
@attribute Ghost2PositionX numeric
@attribute Ghost2PositionY numeric
@attribute Ghost3PositionX numeric
@attribute Ghost3PositionY numeric
@attribute Ghost4PositionX numeric
@attribute Ghost4PositionY numeric
@attribute Ghost1Distance numeric
@attribute Ghost2Distance numeric
@attribute Ghost3Distance numeric
@attribute Ghost4Distance numeric
@attribute Score numeric
@attribute DistanceFood numeric
@attribute RemainingFood numeric
@attribute class {North,South,West,East}

@data
14,6,1,1,1,1,5,9,11,3,-1,-1,-1,-1,12,6,-1,-1,371,-1,0,West
6,3,1,1,1,1,3,5,8,5,8,5,18,9,5,4,4,17,492,1,90,North
10,7,1,1,1,1,5,5,4,4,10,5,-1,-1,7,9,2,-1,140,-1,0,South
3,1,0,0,1,1,-1,-1,1,5,10,5,-1,-1,-1,6,11,-1,291,1,19,West
12,3,1,0,1,0,-1,-1,5,2,12,2,17,4,-1,8,1,5,1773,2,14,South
25,10,1,1,1,1,5,9,11,3,17,6,25,7,21,21,12,3,-14,-1,0,East
15,10,1,1,1,1,5,7,11,4,15,6,25,6,13,10,4,14,-4,-1,0,East
20,10,1,1,1,1,5,9,11,5,15,6,25,6,16,14,9,10,-8,-1,0,East
1,11,0,1,1,0,1,3,2,3,5,9,6,6,8,9,6,10,-9,-1,0,South
1,16,1,1,1,0,1,4,1,4,4,9,5,6,12,12,10,15,-4,-1,0,South
11,12,1,1,0,1,-1,-1,-1,-1,-1,-1,13,12,-1,-1,-1,2,548,-1,0,East
6,12,1,1,0,1,-1,-1,-1,-1,-1,-1,13,12,-1,-1,-1,7,553,-1,0,East
10,5,1,0,1,1,4,2,13,9,-1,-1,13,7,9,7,-1,6,2273,2,76,East
12,3,1,0,1,0,-1,-1,5,4,7,2,17,3,-1,8,6,6,1969,2,14,North
9,5,1,0,1,1,-1,-1,-1,-1,-1,-1,13,6,-1,-1,-1,4,2375,2,77,West
11,14,0,1,1,0,-1,-1,6,12,-1,-1,12,12,-1,7,-1,3,356,-1,0,West
19,6,1,0,1,1,4,8,15,8,20,8,-1,-1,17,6,3,-1,161,-1,0,East
9,8,1,1,1,1,4,10,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,515,-1,0,West
10,10,1,1,1,0,3,6,5,12,14,6,13,12,11,7,8,5,-4,-1,0,West
5,8,1,1,1,1,3,10,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,507,-1,0,North
18,8,0,0,1,1,6,6,3,4,11,6,-1,-1,14,19,9,-1,149,-1,0,West
13,8,1,0,1,1,3,7,10,5,-1,-1,-1,-1,11,6,-1,-1,368,-1,0,West
14,5,0,1,1,1,-1,-1,-1,-1,-1,-1,17,5,-1,-1,-1,4,1871,1,13,East
8,7,0,0,1,1,-1,-1,10,6,10,6,16,7,-1,3,3,8,1780,1,79,East
4,7,1,1,1,1,3,9,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,552,-1,0,North
3,6,1,1,0,0,1,2,10,7,8,5,15,8,6,8,6,15,1186,1,85,North
16,8,0,0,1,1,5,5,4,5,10,6,-1,-1,14,15,8,-1,147,-1,0,West
23,4,1,1,1,1,5,8,10,4,14,6,20,4,22,13,11,4,-18,-1,0,South
24,8,1,1,1,1,6,6,11,4,13,5,24,3,20,17,14,6,-14,-1,0,South
12,8,1,1,0,0,-1,-1,6,12,17,10,12,12,-1,10,7,5,181,-1,0,East
10,14,0,1,1,1,-1,-1,7,12,-1,-1,12,12,-1,5,-1,3,355,-1,0,West
17,14,1,1,0,1,-1,-1,8,13,-1,-1,8,14,-1,10,-1,9,362,-1,0,West
5,7,1,1,1,1,5,9,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,551,-1,0,North
6,9,0,1,1,1,-1,-1,4,8,-1,-1,-1,-1,-1,3,-1,-1,571,-1,0,South
1,3,1,1,0,0,-1,-1,3,7,3,10,4,6,-1,6,9,7,184,-1,0,South
10,5,1,1,1,1,5,4,3,3,-1,-1,-1,-1,6,9,-1,-1,338,-1,0,South
17,8,0,0,1,1,5,6,4,4,11,6,-1,-1,14,17,8,-1,148,-1,0,West
6,10,1,1,0,0,6,8,5,12,18,8,13,12,2,3,14,8,-9,-1,0,West
5,4,0,1,1,1,-1,-1,-1,-1,5,9,6,6,-1,-1,5,3,378,-1,0,North
1,13,0,1,1,0,1,3,2,3,5,9,6,6,10,11,8,12,-7,-1,0,South
28,10,1,1,1,1,4,8,1,4,13,8,28,12,26,33,17,2,-31,-1,0,North
25,8,1,1,1,1,3,9,4,3,15,6,26,5,23,26,12,3,-16,-1,0,South
13,14,1,1,0,0,-1,-1,8,14,-1,-1,8,14,-1,5,-1,6,358,-1,0,West
16,8,1,1,1,1,-1,-1,8,13,18,10,13,12,-1,13,4,7,177,-1,0,East
17,5,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1969,1,10,East
8,3,1,1,1,1,-1,-1,9,13,11,4,9,14,-1,11,4,13,175,-1,0,South
9,3,1,1,1,0,-1,-1,9,14,12,4,10,14,-1,11,4,13,174,-1,0,East
