@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R3,48-51-weka.filters.unsupervised.attribute.Reorder-R1-46,48-last,47'

@attribute PacmanPositionX numeric
@attribute PacmanPositionY numeric
@attribute LegalPacManNorth {0,1}
@attribute LegalPacManSouth {0,1}
@attribute LegalPacManWest {0,1}
@attribute LegalPacManEast {0,1}
@attribute LegalPacManStop {0,1}
@attribute Ghost1PositionX numeric
@attribute Ghost1PositionY numeric
@attribute Ghost2PositionX numeric
@attribute Ghost2PositionY numeric
@attribute Ghost3PositionX numeric
@attribute Ghost3PositionY numeric
@attribute Ghost4PositionX numeric
@attribute Ghost4PositionY numeric
@attribute Ghost1Distance numeric
@attribute Ghost2Distance numeric
@attribute Ghost3Distance numeric
@attribute Ghost4Distance numeric
@attribute Ghost1Direction {North,South,West,East,Stop,Dead}
@attribute Ghost2Direction {North,South,West,East,Stop,Dead}
@attribute Ghost3Direction {North,South,West,East,Stop,Dead}
@attribute Ghost4Direction {North,South,West,East,Stop,Dead}
@attribute Score numeric
@attribute DistanceFood numeric
@attribute RemainingFood numeric
@attribute class {North,South,West,East}
@attribute NextPacmanPositionX numeric
@attribute NextPacmanPositionY numeric
@attribute NextLegalPacManNorth {0,1}
@attribute NextLegalPacManSouth {0,1}
@attribute NextLegalPacManWest {0,1}
@attribute NextLegalPacManEast {0,1}
@attribute NextLegalPacManStop {0,1}
@attribute NextGhost1PositionX numeric
@attribute NextGhost1PositionY numeric
@attribute NextGhost2PositionX numeric
@attribute NextGhost2PositionY numeric
@attribute NextGhost3PositionX numeric
@attribute NextGhost3PositionY numeric
@attribute NextGhost4PositionX numeric
@attribute NextGhost4PositionY numeric
@attribute NextGhost1Distance numeric
@attribute NextGhost2Distance numeric
@attribute NextGhost3Distance numeric
@attribute NextGhost4Distance numeric
@attribute NextDistanceFood numeric
@attribute NextRemainingFood numeric
@attribute NextPacmanDirection {North,South,West,East}
@attribute NextScore numeric

@data
1,17,0,1,1,0,1,1,5,1,3,4,9,5,6,12,14,11,14,North,West,West,North,-2,-1,0,South,1,16,1,1,1,0,1,1,4,2,3,5,9,5,7,12,14,11,12,-1,0,South,-3
1,16,1,1,1,0,1,1,4,2,3,5,9,5,7,12,14,11,12,South,East,East,West,-3,-1,0,South,1,15,1,1,1,0,1,1,3,2,3,6,9,4,7,12,13,11,12,-1,0,South,-4
1,15,1,1,1,0,1,1,3,2,3,6,9,4,7,12,13,11,12,South,East,East,South,-4,-1,0,South,1,14,1,1,1,0,1,1,3,2,4,6,9,4,6,11,11,10,10,-1,0,South,-5
1,14,1,1,1,0,1,1,3,2,4,6,9,4,6,11,11,10,10,South,North,East,West,-5,-1,0,South,1,13,0,1,1,0,1,2,3,2,5,6,10,3,6,11,9,8,10,-1,0,South,-6
1,13,0,1,1,0,1,2,3,2,5,6,10,3,6,11,9,8,10,East,North,North,South,-6,-1,0,South,1,12,1,1,1,0,1,2,3,3,5,6,9,3,5,10,9,8,10,-1,0,South,-7
1,12,1,1,1,0,1,2,3,3,5,6,9,3,5,10,9,8,10,East,East,South,East,-7,-1,0,South,1,11,0,1,1,0,1,2,4,3,6,6,10,4,5,8,7,6,10,-1,0,South,-8
1,11,0,1,1,0,1,2,4,3,6,6,10,4,5,8,7,6,10,North,North,North,East,-8,-1,0,South,1,10,0,1,1,0,1,1,4,3,5,5,10,5,5,6,7,4,9,-1,0,South,-9
1,10,0,1,1,0,1,1,4,3,5,5,10,5,5,6,7,4,9,West,South,West,East,-9,-1,0,South,1,9,0,1,1,0,1,1,3,3,6,4,10,5,5,6,5,4,8,-1,0,South,-10
1,9,0,1,1,0,1,1,3,3,6,4,10,5,5,6,5,4,8,South,North,West,East,-10,-1,0,South,1,8,0,1,1,0,1,2,3,3,6,3,10,5,5,6,4,4,8,-1,0,South,-11
1,8,0,1,1,0,1,2,3,3,6,3,10,5,5,6,4,4,8,East,North,West,South,-11,-1,0,South,1,7,0,1,1,0,1,2,3,4,6,4,10,5,4,5,4,6,6,-1,0,South,-12
